DivaNr,Color,Red,Green,Blue,PoltroniCode,ImgName,RotAngle
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-26.jpg,260
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-36.jpg,360
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-31.jpg,310
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-14.jpg,140
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-21.jpg,210
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-15.jpg,150
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-6.jpg,60
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-17.jpg,170
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-8.jpg,80
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-11.jpg,110
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-10.jpg,100
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-32.jpg,320
DIVA-728715-1-1505826835679,474644,0.27734375,0.2734375,0.265625,DIVA-728715-1,DIVA-728715-1Start-1-27.jpg,270
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-6.jpg,60
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-22.jpg,220
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-28.jpg,280
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-12.jpg,120
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-16.jpg,160
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-31.jpg,310
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-15.jpg,150
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-17.jpg,170
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-14.jpg,140
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-11.jpg,110
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-18.jpg,180
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-21.jpg,210
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-34.jpg,340
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-3.jpg,30
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-32.jpg,320
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-23.jpg,230
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-10.jpg,100
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-4.jpg,40
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-1.jpg,10
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-8.jpg,80
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-25.jpg,250
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-27.jpg,270
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-5.jpg,50
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-20.jpg,200
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-36.jpg,360
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-29.jpg,290
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-19.jpg,190
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-13.jpg,130
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-30.jpg,300
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-26.jpg,260
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-7.jpg,70
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-2.jpg,20
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-35.jpg,350
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-33.jpg,330
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-9.jpg,90
DIVA-474170-1-1505827531158,3E5978,0.2421875,0.34765625,0.46875,DIVA-474170-1,DIVA-474170-1Start-1-24.jpg,240
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-15.jpg,150
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-13.jpg,130
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-36.jpg,360
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-32.jpg,320
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-8.jpg,80
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-4.jpg,40
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-12.jpg,120
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-5.jpg,50
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-18.jpg,180
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-21.jpg,210
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-23.jpg,230
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-10.jpg,100
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-14.jpg,140
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-7.jpg,70
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-1.jpg,10
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-24.jpg,240
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-16.jpg,160
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-28.jpg,280
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-34.jpg,340
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-27.jpg,270
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-11.jpg,110
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-30.jpg,300
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-29.jpg,290
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-35.jpg,350
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-33.jpg,330
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-31.jpg,310
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-19.jpg,190
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-3.jpg,30
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-2.jpg,20
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-17.jpg,170
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-6.jpg,60
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-26.jpg,260
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-20.jpg,200
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-9.jpg,90
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-22.jpg,220
DIVA-698799-1-1505828479586,574B3E,0.33984375,0.29296875,0.2421875,DIVA-698799-1,DIVA-698799-1Start-1-25.jpg,250
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-35.jpg,350
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-11.jpg,110
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-21.jpg,210
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-13.jpg,130
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-23.jpg,230
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-32.jpg,320
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-29.jpg,290
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-10.jpg,100
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-33.jpg,330
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-24.jpg,240
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-6.jpg,60
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-5.jpg,50
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-22.jpg,220
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-7.jpg,70
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-3.jpg,30
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-8.jpg,80
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-2.jpg,20
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-20.jpg,200
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-18.jpg,180
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-19.jpg,190
DIVA-266411-1-1505824872679,BA5733,0.7265625,0.33984375,0.19921875,DIVA-266411-1,DIVA-266411-1Start-1-9.jpg,90
